command,intent
I want to write something in Notepad,open_notepad
Notepad please,open_notepad
Can you open Notepad?,open_notepad
Launch the Notepad app,open_notepad
Start a Notepad session,open_notepad
Open Notepad editor,open_notepad
Notepad text editor,open_notepad
Open Notepad program,open_notepad
Create a Notepad document,open_notepad
Open blank Notepad,open_notepad
Start writing in Notepad,open_notepad
New Notepad window,open_notepad
Run Notepad,open_notepad
Open Notepad software,open_notepad
Activate Notepad,open_notepad
Notepad application open,open_notepad
Open Windows Notepad,open_notepad
Create text file in Notepad,open_notepad
Start new note,open_notepad
Open Notepad immediately,open_notepad
Write something in Notepad,open_notepad
"Jarvis, launch Notepad",open_notepad
Open Notepad and type,open_notepad
Open Notepad document,open_notepad
Start a new Notepad window,open_notepad
Notepad launch now,open_notepad
Open Calculator,open_calculator
Launch Calculator,open_calculator
Start Calculator,open_calculator
I want to use Calculator,open_calculator
Calculator please,open_calculator
Can you open Calculator?,open_calculator
Open the Calculator app,open_calculator
Start a new Calculator session,open_calculator
Calculator program,open_calculator
Launch the Calculator tool,open_calculator
Open my Calculator,open_calculator
Use Calculator,open_calculator
Bring up Calculator,open_calculator
Open Calculator window,open_calculator
Run Calculator,open_calculator
Calculator software please,open_calculator
I need a Calculator,open_calculator
Activate Calculator,open_calculator
Calculator tool open,open_calculator
Start calculation app,open_calculator
Open Windows Calculator,open_calculator
Launch math calculator,open_calculator
Start basic calculator,open_calculator
Jarvis open calculator,open_calculator
Bring up my calculator,open_calculator
Calculator now,open_calculator
Open calculator application,open_calculator
Start new calculation,open_calculator
Show calculator,open_calculator
Open calculator immediately,open_calculator
Open WhatsApp,open_whatsapp
Launch WhatsApp,open_whatsapp
Start WhatsApp,open_whatsapp
I want to check WhatsApp,open_whatsapp
Open WhatsApp messenger,open_whatsapp
WhatsApp please,open_whatsapp
Can you open WhatsApp?,open_whatsapp
Start the WhatsApp app,open_whatsapp
Launch WhatsApp program,open_whatsapp
Open my WhatsApp,open_whatsapp
Open WhatsApp chat,open_whatsapp
Start WhatsApp messenger,open_whatsapp
Open WhatsApp window,open_whatsapp
Run WhatsApp,open_whatsapp
Check WhatsApp messages,open_whatsapp
Activate WhatsApp,open_whatsapp
WhatsApp application open,open_whatsapp
Bring up WhatsApp,open_whatsapp
Start WhatsApp session,open_whatsapp
Access WhatsApp,open_whatsapp
Open WhatsApp right now,open_whatsapp
Check my WhatsApp,open_whatsapp
Jarvis open WhatsApp,open_whatsapp
Launch WhatsApp chat window,open_whatsapp
WhatsApp start now,open_whatsapp
WhatsApp launch please,open_whatsapp
Open WhatsApp quickly,open_whatsapp
Open WhatsApp conversations,open_whatsapp
Start WhatsApp instantly,open_whatsapp
Access my WhatsApp messages,open_whatsapp
Open LinkedIn,open_linkedin
Launch LinkedIn,open_linkedin
Start LinkedIn,open_linkedin
I want to check LinkedIn,open_linkedin
Open LinkedIn website,open_linkedin
LinkedIn please,open_linkedin
Can you open LinkedIn?,open_linkedin
Start the LinkedIn app,open_linkedin
Open my LinkedIn profile,open_linkedin
Launch LinkedIn program,open_linkedin
Check LinkedIn updates,open_linkedin
Open LinkedIn page,open_linkedin
Access LinkedIn site,open_linkedin
Open LinkedIn portal,open_linkedin
Show LinkedIn profile,open_linkedin
Open LinkedIn network,open_linkedin
Go to LinkedIn,open_linkedin
Open LinkedIn account,open_linkedin
Bring up LinkedIn,open_linkedin
Run LinkedIn application,open_linkedin
Open my LinkedIn dashboard,open_linkedin
Check LinkedIn notifications,open_linkedin
Start LinkedIn now,open_linkedin
Jarvis open LinkedIn,open_linkedin
Launch LinkedIn instantly,open_linkedin
LinkedIn start now,open_linkedin
Open LinkedIn homepage,open_linkedin
Access my LinkedIn feed,open_linkedin
Check LinkedIn right away,open_linkedin
Go to LinkedIn profile,open_linkedin
Open GitHub,open_github
Launch GitHub,open_github
Start GitHub,open_github
I want to check GitHub,open_github
Open GitHub repository,open_github
GitHub please,open_github
Can you open GitHub?,open_github
Start the GitHub app,open_github
Open my GitHub profile,open_github
Launch GitHub program,open_github
Check GitHub updates,open_github
Open GitHub page,open_github
Access GitHub website,open_github
Open GitHub account,open_github
Show GitHub repositories,open_github
Run GitHub,open_github
GitHub application open,open_github
Check my GitHub projects,open_github
Go to GitHub site,open_github
Open GitHub dashboard,open_github
Open my GitHub repos,open_github
Jarvis open GitHub,open_github
Launch GitHub quickly,open_github
Open GitHub code,open_github
Access my repositories,open_github
GitHub now,open_github
Check GitHub issues,open_github
Show GitHub pull requests,open_github
Go to my GitHub profile,open_github
Start GitHub website,open_github
Open Spotify,open_spotify
Launch Spotify,open_spotify
Start Spotify,open_spotify
I want to listen on Spotify,open_spotify
Play music on Spotify,open_spotify
Spotify please,open_spotify
Can you open Spotify?,open_spotify
Start the Spotify app,open_spotify
Open my Spotify playlists,open_spotify
Launch Spotify program,open_spotify
Play songs on Spotify,open_spotify
Open Spotify music,open_spotify
Run Spotify,open_spotify
Spotify application open,open_spotify
Bring up Spotify,open_spotify
Open Spotify window,open_spotify
Play Spotify album,open_spotify
Activate Spotify,open_spotify
Spotify software open,open_spotify
Start Spotify session,open_spotify
Jarvis open Spotify,open_spotify
Launch Spotify right now,open_spotify
Spotify launch please,open_spotify
Play Spotify podcast,open_spotify
Open Spotify quickly,open_spotify
Start Spotify instantly,open_spotify
Play Spotify playlist,open_spotify
Bring up Spotify app,open_spotify
Spotify now,open_spotify
Open Spotify immediately,open_spotify
Exit,exit
Quit,exit
Stop,exit
Close Jarvis,exit
Terminate Jarvis,exit
Shutdown Jarvis,exit
Stop listening,exit
End program,exit
Turn off Jarvis,exit
Stop the assistant,exit
Shut down assistant,exit
Please exit,exit
Quit now,exit
I am done,exit
Goodbye Jarvis,exit
Exit program,exit
Close assistant,exit
Turn off,exit
End Jarvis,exit
Stop Jarvis,exit
Exit immediately,exit
Quit the program,exit
Jarvis shut down,exit
Close application,exit
Turn off now,exit
End this session,exit
Stop Jarvis instantly,exit
Exit assistant now,exit
Terminate now,exit
Goodbye assistant,exit
